type,authors,name,topic,reference,date,keywords,update
Course,Qianyu Hang,Experimental Statistics For Biological Sciences II,R markdown,ST512.html,2018/12/25,,
Course,Qianyu Hang,Fundamentals of Geospatial Information Science and Technology,R markdown,GIS510.html,2018/12/25,,
Course,Qianyu Hang,Waershed Hydrology,R markdown,FOR520.html,2018/12/25,,
